start_time	rating	tags	clip_name	clip_duration	notes
7:00	5	Goal	Goal	15.0	Goal
11:19	3	Interception,Control	Nice Steal Possession	15.0	Nice steal and keeping possession
18:27	3	Interception,Dribble	Nice Steal Dribble	15.0	Nice steal and dribble
20:58	5	Dribble,Pass	Great Dribble Through	15.0	Great dribble and through
25:47	4	Pass	Great Ball	15.0	Great ball
30:01	4	Interception,Pass	Great Steal Pass	15.0	Great steal and pass
54:41	5	Control,Goal	Nice Touch Goal	15.0	Nice touch and goal
56:15	5	Dribble,Chance Creation	Great Dribble Shot	15.0	Great dribble and shot; needed to improve shot spot
61:28	5	Control,Pass	Great Touch Pass	15.0	Great touch and pass; lots of strength; room to take a touch
63:18	5	Dribble,Chance Creation	Tremendous Dribble Cross	15.0	Tremendous dribble and cross and second cross
65:58	4	Pass,Chance Creation	Great Blind Run	15.0	Great blind side run; cross was on; touch too big in box
69:12	5	Control,Dribble,Chance Creation	Great Reception Dribble Cross	15.0	Great reception, dribble, cross
