start_time	rating	tags	clip_name	clip_duration	notes
2:38	3	Interception	Nice Steal	15.0	Nice steal
4:35	5	Movement	Brilliant Run	15.0	Brilliant run
6:34	3	Possession	Nice Tight Space	15.0	Nice work in tight space; think about splitting the channel
6:50	5	Pass	Amazing Ball	15.0	What a ball
10:46	4	Possession	Good Play	15.0	Good play
14:45	5	Possession,Pass	Brilliant First Touch	15.0	Received without scan but brilliant first touch to space; switched point of attack for 1 on 1
25:31	5	Movement,Pass	Perfect Run Ball	15.0	Perfect run and perfect ball
30:57	5	Chance Creation	Great Ball In	15.0	Great ball in; just jog in if too tired to run
33:39	3	1v1 Attack,Pass	Nice Dribble Attack	15.0	Nice dribble; attack center back; playing striker is right play
40:23	4	Possession	Great Play	15.0	Great play; too bad no quality on wing
54:18	3	1v1 Attack	Nice Moves Foul	15.0	Nice moves drawing foul
56:06	3	Pass,Build-Up	Nice One Touch	15.0	Nice one touch to wing; great short passing to run it down field
59:27	3	Pass	Nice Pass Backward	15.0	Nice pass backward
60:20	4	Possession,Pass	Great Touch	15.0	Great touch taking 2 guys out of center and passing into space
61:20	5	1v1 Attack	Great Dribbling	15.0	Great dribbling; should have ended with curl in for shot or pass option
66:17	5	1v1 Attack	Great Dribble	15.0	Good touch, wrong move, good recovery; great dribble; late release partially blocked
72:09	4	1v1 Defense	Great Pressure	15.0	Great pressure leads to turnover
75:37	4	Possession	Great Control Foul	15.0	Great control and drawing foul
78:26	5	1v1 Attack	Nice Moves	15.0	Nice moves
82:52	5	1v1 Attack,Assist	Nice Moves Assets	15.0	Nice moves and assets
86:12	4	1v1 Attack	Great Move Setup	15.0	Great move setup; needed to touch inside; had him beat
